precinct_id,abandoned_vehicle,blocked_driveway,graffiti,illegal_parking,noise___commercial,noise___residential,noise___street/sidewalk,noise___vehicle,sanitation_condition,street_light_condition,disorder_cluster
1,662.0,1705.0,783.0,27252.0,7486.0,10955.0,5701.0,2085.0,142.0,2384.0,0
10,410.0,941.0,406.0,12354.0,3284.0,9538.0,4388.0,2356.0,137.0,1197.0,0
100,1412.0,2750.0,94.0,17911.0,1728.0,7357.0,3771.0,662.0,100.0,2810.0,0
101,2241.0,5326.0,38.0,7717.0,392.0,14171.0,2484.0,875.0,128.0,1305.0,0
102,12657.0,40185.0,1271.0,71153.0,2783.0,30585.0,6891.0,4884.0,534.0,2712.0,1
103,6438.0,21210.0,563.0,22339.0,2048.0,27090.0,11305.0,2636.0,810.0,1702.0,1
104,21196.0,37531.0,882.0,126094.0,7474.0,25682.0,8633.0,3649.0,624.0,5325.0,1
105,8458.0,8588.0,131.0,22446.0,1264.0,14585.0,2084.0,1609.0,446.0,2784.0,0
106,17765.0,30194.0,318.0,47547.0,3288.0,33388.0,6441.0,6859.0,510.0,2980.0,1
107,6383.0,13650.0,535.0,35832.0,458.0,26012.0,2520.0,25921.0,411.0,3196.0,2
108,7073.0,20034.0,1090.0,72404.0,5074.0,18361.0,8349.0,2929.0,253.0,3347.0,1
109,13296.0,39450.0,841.0,62180.0,3344.0,28075.0,10373.0,4214.0,606.0,4539.0,1
110,2368.0,34190.0,1214.0,35235.0,6269.0,28272.0,25789.0,4275.0,223.0,2976.0,1
111,7095.0,7452.0,154.0,32091.0,3193.0,8669.0,1674.0,1323.0,295.0,3609.0,0
112,2374.0,9881.0,584.0,24866.0,3062.0,18339.0,2804.0,2132.0,197.0,2376.0,0
113,10129.0,16016.0,116.0,20441.0,1211.0,21819.0,3427.0,2530.0,699.0,2052.0,1
114,6771.0,33817.0,1786.0,83743.0,19476.0,34326.0,14365.0,6275.0,530.0,3218.0,3
115,3168.0,36549.0,1370.0,45826.0,5307.0,26708.0,10481.0,7472.0,324.0,2272.0,1
116,9015.0,7264.0,153.0,16023.0,709.0,9365.0,2165.0,1587.0,382.0,2276.0,0
120,6649.0,8060.0,529.0,16864.0,2662.0,19785.0,4355.0,2188.0,473.0,4817.0,1
121,5664.0,7454.0,1298.0,17791.0,639.0,11212.0,2107.0,1503.0,519.0,4322.0,1
122,6642.0,5173.0,449.0,18960.0,1592.0,11979.0,1886.0,1667.0,517.0,5385.0,1
123,3885.0,2563.0,1510.0,17099.0,1362.0,6520.0,1485.0,686.0,475.0,3863.0,0
13,396.0,806.0,709.0,10776.0,5710.0,12948.0,7675.0,2191.0,199.0,1308.0,0
14,267.0,1087.0,309.0,11235.0,2572.0,6870.0,5935.0,1079.0,90.0,830.0,0
17,284.0,704.0,487.0,10132.0,2004.0,5870.0,3209.0,1958.0,108.0,1050.0,0
18,644.0,1864.0,583.0,23920.0,6086.0,9047.0,7861.0,6507.0,184.0,1752.0,0
19,1208.0,2320.0,661.0,25600.0,5947.0,14549.0,6599.0,2950.0,200.0,2695.0,0
20,701.0,818.0,230.0,17686.0,3353.0,7710.0,5089.0,1668.0,167.0,1408.0,0
22,17.0,16.0,10.0,832.0,56.0,52.0,578.0,76.0,4.0,1899.0,0
23,529.0,1321.0,470.0,6706.0,1888.0,21305.0,13851.0,1604.0,48.0,1142.0,0
24,726.0,481.0,462.0,14046.0,2165.0,17491.0,10909.0,3032.0,91.0,1261.0,0
25,799.0,1123.0,210.0,8702.0,1536.0,12836.0,9751.0,2236.0,121.0,1768.0,0
26,413.0,523.0,220.0,11048.0,1099.0,6508.0,4660.0,916.0,43.0,1291.0,0
28,723.0,850.0,379.0,15828.0,4359.0,17996.0,21235.0,2829.0,139.0,1204.0,0
30,821.0,1181.0,1104.0,14340.0,5328.0,31752.0,28287.0,3329.0,68.0,1023.0,0
32,1249.0,1718.0,283.0,12397.0,6368.0,37263.0,19778.0,2710.0,131.0,977.0,0
33,1399.0,691.0,349.0,18065.0,4590.0,21466.0,33525.0,7328.0,78.0,1095.0,2
34,1966.0,2215.0,458.0,35014.0,7941.0,35765.0,50292.0,16910.0,156.0,2238.0,2
40,1860.0,6535.0,912.0,20906.0,2919.0,31184.0,14693.0,4021.0,232.0,2280.0,0
41,1114.0,4677.0,379.0,10771.0,1671.0,13453.0,7921.0,2873.0,272.0,1993.0,0
42,1542.0,8773.0,379.0,15803.0,2416.0,41834.0,25791.0,4077.0,209.0,2083.0,0
43,4892.0,17943.0,1109.0,38191.0,5519.0,43352.0,20275.0,5999.0,341.0,5607.0,1
44,2829.0,8380.0,628.0,35254.0,4845.0,45032.0,45771.0,15423.0,243.0,2917.0,2
45,9138.0,12104.0,488.0,39589.0,2892.0,17984.0,5176.0,2287.0,308.0,8254.0,1
46,1924.0,10549.0,825.0,27695.0,5189.0,43210.0,38502.0,15380.0,283.0,2029.0,2
47,8848.0,28848.0,722.0,45194.0,4964.0,353854.0,8611.0,4012.0,818.0,5629.0,1
